Intervention,Apoptosis
SMAD-0,1
SMAD-1,1
PDGFR-0,1
Cytoskeleton_signaling-0,1
Cytoskeleton_signaling-1,1
STAT3-1,1
STAT3-0,1
ERK-0,1
ERK-1,1
Stimuli-0,0.999999999
IL2-1,1
IL2-0,1
TBET-1,1
IL2RAT-1,1
IL2RAT-0,0.999999998
NFAT-0,1
NFAT-1,1
CTLA4-0,1
CTLA4-1,1
BclxL-1,1
BclxL-0,1
TRADD-1,1
TRADD-0,1
SOCS-0,1
ZAP70-1,1
Proliferation-0,1
Proliferation-1,0.999999998
GAP-0,1
GAP-1,0.999984068
IL2RBT-0,1
IL2RBT-1,1
FYN-1,1
FYN-0,1
sFas-0,0.999999999
IL15-0,0.999920711
FLIP-0,0.999999997
MCL1-1,1
FLIP-1,0.999999998
ZAP70-0,1
IFNGT-1,1
FasL-1,1
Stimuli2-1,1
PI3K-0,0.998972322
PI3K-1,1
IAP-1,1
LCK-0,0.996231133
LCK-1,1
CREB-1,1
CREB-0,1
BID-1,1
BID-0,1
IFNGT-0,1
Caspase-1,1
MCL1-0,1
Fas-1,1
P27-1,1
P27-0,1
TAX-1,1
S1P-0,1
CD45-1,0.997182254
GRB2-0,0.99999985
GRB2-1,1
TPL2-0,1
MEK-1,1
MEK-0,1
NFKB-0,1
NFKB-1,1
GPCR-1,1
GPCR-0,1
SPHK1-0,1
TNF-0,0.999999991
TNF-1,1
IL2RA-0,1
IL2RA-1,1
RANTES-0,0.999998472
RANTES-1,1
A20-1,1
A20-0,1
PLCG1-1,1
FasT-1,1
TCR-1,0.999807561
TCR-0,1
PLCG1-0,0.997874358
IFNG-1,1
IFNG-0,1
P2-1,1
P2-0,1
IL2RB-1,1
IL2RB-0,1
TPL2-1,1
DISC-1,1
IAP-0,1
Ceramide-1,1
GZMB-1,0.999999994
GZMB-0,0.999976338
RAS-0,0.999969227
RAS-1,1
JAK-1,1
