,intervention_name,algorithm,decay,total_cell_count,cell_count_rank
EG_Ceramide_S1P_1_1,Ceramide->S1P=1,EG,1,592069.6666666666,10.0
EG_GAP_RAS_1_1,GAP->RAS=1,EG,1,1292578.6666666665,17.0
EG_IL15_GAP_0_1,IL15->GAP=0,EG,1,1288787.0,16.0
EG_IL2RBT_IL2RB_0_1,IL2RBT->IL2RB=0,EG,1,1315188.3333333333,22.0
EG_IL2RB_MCL1_0_1,IL2RB->MCL1=0,EG,1,1294363.6666666667,18.0
EG_JAK_STAT3_0_1,JAK->STAT3=0,EG,1,1309964.6666666665,21.0
EG_MCL1_BID_0_1,MCL1->BID=0,EG,1,1323458.0,23.0
EG_PDGFR_SPHK1_0_1,PDGFR->SPHK1=0,EG,1,606346.3333333333,12.0
EG_PI3K_ERK_0_1,PI3K->ERK=0,EG,1,1299239.6666666667,19.0
EG_RAS_MEK_0_1,RAS->MEK=0,EG,1,1305340.0,20.0
EG_S1P_PDGFR_0_1,S1P->PDGFR=0,EG,1,638680.0,13.0
IB_anti_sFas_1,sFas=0,IB,1,1449877.3333333335,26.0
IB_pro_Ceramide_1,Ceramide=1,IB,1,554124.0,3.0
IB_pro_DISC_1,DISC=1,IB,1,1085142.6666666665,15.0
IB_pro_FasL_1,FasL=1,IB,1,1452751.3333333333,27.0
IB_pro_FasT_1,FasT=1,IB,1,1449468.6666666665,25.0
IB_pro_Fas_1,Fas=1,IB,1,1458542.0,28.0
IB_pro_TBET_1,TBET=1,IB,1,1444802.6666666667,24.0
SM_anti_PDGFR_1,PDGFR=0,SM,1,645561.3333333333,14.0
SM_anti_S1P_1,S1P=0,SM,1,576115.0,9.0
SM_anti_SPHK1_1,SPHK1=0,SM,1,605611.3333333333,11.0
SM_pro_Ceramidepro_GRB2_1,"Ceramide=1, GRB2=1",SM,1,562244.6666666667,6.0
SM_pro_Ceramidepro_IL2RBT_1,"Ceramide=1, IL2RBT=1",SM,1,563864.3333333333,8.0
SM_pro_Ceramidepro_IL2RB_1,"Ceramide=1, IL2RB=1",SM,1,549883.0,1.0
SM_pro_Ceramidepro_PI3Kpro_ERK_1,"Ceramide=1, PI3K=1, ERK=1",SM,1,557194.0,4.0
SM_pro_Ceramidepro_PI3Kpro_MEK_1,"Ceramide=1, PI3K=1, MEK=1",SM,1,552714.3333333333,2.0
SM_pro_Ceramidepro_RAS_1,"Ceramide=1, RAS=1",SM,1,559893.0,5.0
SM_pro_TBETpro_Ceramidepro_ERK_1,"TBET=1, Ceramide=1, ERK=1",SM,1,562266.3333333334,7.0
